district,block,klpid,school_name,dise_code,village,child_count,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,yes,no ,dont know,Village,District,Block,Date,Name of the school,KLP ID,Grama Panchayat,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q1,Q2,Q3,Q4,Q5,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Total
Bangalore rural,Hosakote,35981,GLPS Ajjagondanahalli,29210419701,Ajjagondanahalli,79,77,2,0,79,0,0,79,0,0,24,34,21,75,0,4,66,13,0,13,57,9,26,48,5,25,48,6,39,40,0,Ajjagondanahalli,Bangalore Rural,Hosakote,04/10/2016,GLPS Ajjagondanahalli,35981,Muthasandra,1,0.5,0.5,0,0,0,0,0.5,1,1,0,1,1,0,0,0,0,0,0.5,0,7
Bangalore rural,Hosakote,35993,G HPS ANUGONDANAHALLI,29210419301,Anugondanahalli,42,42,0,0,42,0,0,35,7,0,7,35,0,42,0,0,37,5,0,26,16,0,30,12,0,23,19,0,22,20,0,Anugondanahalli ,Bangalore Rural,Hosakote,24/12/2016,GHPS Anugondanahalli,35993,Anugondanahalli,1,0.2,0.6,0.2,0.2,0.6,0.4,0.6,0.8,1,0.6,0.4,1,0.6,0,0,0.2,0.8,1,0.2,10.4
Bangalore Rural,Hosakote,36190,GHPS Anupahalli,29210400301,Anupahalli,66,45,19,2,64,0,2,65,0,1,66,0,0,52,3,11,57,9,0,32,33,1,46,20,0,44,22,0,41,24,1,Anupahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS Anupahalli,36190,Ittasandra,0.71,0.29,0.57,0.14,0.43,0.43,0.71,0.43,0.86,0.71,0.29,0.71,1,0.29,0.14,0.43,0.29,0.71,0.71,0,9.86
Bangalore Rural,Hosakote,36137,GHPS Arasanahalli,29210401301,Arasanahalli,10,10,0,0,10,0,0,10,0,0,0,10,0,10,0,0,10,0,0,4,5,1,10,0,0,7,3,0,4,5,1,Arasanahalli,Bangalore Rural,Hosakote,24/12/2016,GHPS Arasanahalli,36137,Giddappanahalli,1,0.63,0.75,0.88,0.63,0.88,0.88,0.63,0.88,0.88,0.75,0.63,0.88,0.5,0.38,0,0.75,1,1,0,13.88
Bangalore rural,Hosakote,35910,GKLPS Arehalli,29210405201,Arehalli,3,3,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,2,1,0,2,1,0,2,1,0,3,0,0,Arehalli,Bangalore Rural,Hosakote,24/09/2016,GLPS Arehalli,35910,Nelavagilu,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,10
Bangalore Rural,Hosakote,35882,GHPS Attibele,29210402801,Attibele,40,40,0,0,39,0,1,40,0,0,2,31,7,38,0,2,40,0,0,35,5,0,40,0,0,37,2,1,30,7,3,Attibele,Bangalore Rural,Hosakote,24/12/2016,GHPS Attibele,35882,Giddappanahalli,1,0.5,0.5,0.75,0.5,0.25,0.5,0.75,1,1,0.75,0.5,1,0.5,0.5,0,0.25,0.5,0.25,0.25,11.25
Bangalore rural,Hosakote,36027,GKLPS Balenahalli,29210400801,Balenahalli,14,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,14,0,0,10,4,0,Balenahalli,Bangalore Rural,Hosakote,24/12/2016,GLPS Balenahalli,36027,Doddaralagere,0.8,0.8,0.8,0.8,0.8,0.8,1,0.6,0.8,0.8,0.2,0,1,0,0,0,0.2,0.2,0.6,0,10.2
Bangalore rural,Hosakote,36074,GKLPS Banahalli,29210405601,Banahalli,19,19,0,0,19,0,0,19,0,0,16,3,0,18,1,0,13,6,0,4,15,0,11,8,0,11,8,0,14,5,0,Banahalli ,Bangalore Rural,Hosakote,24/12/2016,GLPS Banahalli,36074,Nandagudi,1,1,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,11.5
Bangalore Rural,Hosakote,35977,GHPS Bhodhana hosahalli,29210418501,Bhodhana hosahalli,135,135,0,0,135,0,0,135,0,0,5,130,0,135,0,0,135,0,0,80,55,0,85,50,0,70,65,0,15,120,0,Bellikere,Bangalore Rural,Hosakote,04/10/2016,GHPS Bhodhana Hosahalli,35977,Muthasandra,0.92,0.85,0.85,0.62,0.62,0.46,0.38,0.46,0.62,0.62,0.38,0.54,0.92,0.08,0,0.08,0.23,0.38,0.38,0.23,9.62
Bangalore Rural,Hosakote,35984,GLPS Bellikere,29210420503,Bellikere,30,30,0,0,30,0,0,30,0,0,0,30,0,30,0,0,23,7,0,21,9,0,20,10,0,16,14,0,0,30,0,Bellikere,Bangalore Rural,Hosakote,04/10/2016,GLPS Bellikere,35984,Muthasandra,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,14
Bangalore Rural,Hosakote,35982,GLPS Koturu,29210419901,Koturu,23,23,0,0,23,0,0,23,0,0,3,20,0,23,0,0,18,5,0,8,15,0,6,17,0,3,20,0,0,23,0,Bellikere,Bangalore Rural,Hosakote,04/10/2016,GLPS Kotturu,35982,Muthasandra,1,0,0,0,0,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,3.5
